no,D_JOLT_5_4,D_JOLT_9_4,D_JOLT_11_4,D_JOLT,D_JOLT_a_0p5,D_JOLT_a_2,D_JOLT_l_2,D_JOLT_d_20_6,D_JOLT_d_10_2
server_039,1.8488321340033789,1.8481277966727532,1.8486400420041171,1.848864149336589,1.8489495235584832,1.847925032895755,1.847925032895755,1.848864149336589,1.847967720006702,0.0
server_030,1.5393646205769187,1.5437317514372868,1.545299997930786,1.5463019331905212,1.5456811689535115,1.54135760049574,1.5406497114535358,1.5463019331905212,1.548262241307395,0.0
client_002,1.1245104549211986,1.123358584147548,1.1234398926727467,1.1238261081674414,1.08995433171168,1.1274578889596574,1.1278847587169516,1.1238261081674414,1.1199504017996287,0.0
server_035,1.3444792256398848,1.346924434242613,1.3432896646980168,1.3481029807313156,1.3474090701818926,1.3445783557183737,1.3445673412652084,1.3481029807313156,1.3476073303388707,0.0
server_003,1.239020880079932,1.237671660803843,1.2386562262215295,1.2358362363832172,1.1916049388718581,1.2616537295581123,1.2574115896720301,1.2358362363832172,1.2336847786186425,0.0
server_004,1.2127116099609978,1.214516073618532,1.2129132677372951,1.2129984121317317,1.179980312225988,1.2247841888353292,1.2244182173153821,1.2129984121317317,1.2114210001926953,0.0
server_032,1.6594380873566885,1.6599255317852541,1.6582416328502094,1.6589617212105905,1.657920362658655,1.6594048525092864,1.6594159307917538,1.6589617212105905,1.6571559611684044,0.0
server_017,1.1102701352687065,1.1089769232560156,1.1085493801683504,1.106767245119765,1.1092817064472227,1.112426899656484,1.1115315990323134,1.106767245119765,1.1004006629034409,0.0
server_027,1.6056120943146666,1.5976650889255692,1.5982225817382845,1.5962221663514828,1.5996873667756146,1.5971513210393415,1.5978618510947629,1.5962221663514828,1.598506793760453,0.0
client_006,1.1167353436973215,1.1151526503090465,1.116997565087095,1.1184959730286568,1.115723918336767,1.1161921708185052,1.1164075669601048,1.1184959730286568,1.1199381906724104,0.0
server_018,1.1243793664690434,1.1186661104223345,1.1204719458954457,1.1202369130789886,1.1079819103075599,1.1197629302324672,1.123930845510971,1.1202369130789886,1.1175516631509674,0.0
server_022,1.1384343227794527,1.1348449254824382,1.1281473802345374,1.1238617882312658,1.12095336826988,1.1360242717061524,1.1364979123669667,1.1238617882312658,1.1272647727380805,0.0
server_021,1.1282699684426314,1.1265866554699122,1.1249356408273692,1.1282129713893791,1.1236684063433922,1.1213068284369698,1.1151606461945915,1.1282129713893791,1.1171479434513236,0.0
server_029,1.5054364146293098,1.5112836057678687,1.510694353947704,1.5118388622907164,1.510139097424856,1.5112382787047793,1.5117255446329925,1.5118388622907164,1.5085526502167201,0.0
server_015,1.2998893215822915,1.2999303135888503,1.2998401311744212,1.299807337569174,1.2997663455626154,1.2996679647468745,1.2997581471613038,1.299807337569174,1.2998565279770444,0.0
server_009,1.2372227008088434,1.2386897775824888,1.240409798627452,1.2389513942288235,1.214534322369524,1.2431589415077213,1.2434668108208113,1.2389513942288235,1.2370955059752662,0.0
server_023,1.4869244609261165,1.4855600391405772,1.48639498381531,1.487810316861504,1.482128620172467,1.4873012042549596,1.487443755784792,1.487810316861504,1.4863542548067867,0.0
server_033,1.501950853592843,1.500651962684576,1.4973896320312539,1.4970472886910904,1.4960907411229867,1.4955570882692026,1.494288404126244,1.4970472886910904,1.4908347639593014,0.0
client_007,1.1314572384951496,1.1316957251271218,1.13120171710375,1.1315679644314225,1.129685623514782,1.1311335780660439,1.130775848118085,1.1315679644314225,1.1310654390283374,0.0
spec_gobmk_001,1.0520959556847274,1.05195018176186,1.0512304230177023,1.0495358011643692,1.0429486420247998,1.0548747710893867,1.0545194471523973,1.0495358011643692,1.0526972731165554,0.0
server_036,1.9314539052316897,1.9458284607553018,1.9488222591613473,1.9470713734509524,1.9456231099621073,1.938749262358335,1.9435047544112591,1.9470713734509524,1.9483034782101192,0.0
spec_x264_001,1.0698832088837833,1.069372646627098,1.068996106962793,1.0688684663986214,1.0691556576680068,1.0697619503478206,1.0696726019529006,1.0688684663986214,1.068670623524156,0.0
server_020,1.1144404119666502,1.1137008337420304,1.1213987248651298,1.1161765571358508,1.1088023540951446,1.1258420794507111,1.1271505640019617,1.1161765571358508,1.119283962726827,0.0
server_038,1.6564036723401223,1.6578822242952678,1.659850081213987,1.6571695409787588,1.6588821083512657,1.658073691454927,1.6583289810011392,1.6571695409787588,1.6602968379198582,0.0
server_034,1.6304080945686397,1.6329722986753263,1.6329821990772826,1.6280815001089046,1.6305467001960279,1.6314179355681842,1.6316456448131795,1.6280815001089046,1.6293190503534445,0.0
client_008,1.0577803006846251,1.0570148278116076,1.0563267623077717,1.0572814531943442,1.0541765576082844,1.0613324388481784,1.0606529741631405,1.0572814531943442,1.0569116179860323,0.0
